third,fourth,control,status,completed_exhaustively,timed_out,witness_found,witness_verified,aggregate_nodes,wall_seconds,audit_status,coverage_ok
4,12,False,EXHAUSTED_NO_WITNESS,True,False,False,False,85455625,109.008551702,EXHAUSTED_NO_WITNESS,True
4,13,False,EXHAUSTED_NO_WITNESS,True,False,False,False,78577547,99.020814909,EXHAUSTED_NO_WITNESS,True
4,14,False,EXHAUSTED_NO_WITNESS,True,False,False,False,69766765,113.897636279,EXHAUSTED_NO_WITNESS,True
4,15,False,EXHAUSTED_NO_WITNESS,True,False,False,False,64392481,69.391327011,EXHAUSTED_NO_WITNESS,True
4,16,False,EXHAUSTED_NO_WITNESS,True,False,False,False,57580364,71.471611456,EXHAUSTED_NO_WITNESS,True
4,17,False,EXHAUSTED_NO_WITNESS,True,False,False,False,52964969,87.730546975,EXHAUSTED_NO_WITNESS,True
4,18,False,EXHAUSTED_NO_WITNESS,True,False,False,False,47916211,75.874624253,EXHAUSTED_NO_WITNESS,True
4,19,False,EXHAUSTED_NO_WITNESS,True,False,False,False,44506536,54.641724673,EXHAUSTED_NO_WITNESS,True
4,20,False,EXHAUSTED_NO_WITNESS,True,False,False,False,40057574,61.803325554,EXHAUSTED_NO_WITNESS,True
4,21,False,EXHAUSTED_NO_WITNESS,True,False,False,False,37280844,57.862240725,EXHAUSTED_NO_WITNESS,True
4,22,False,EXHAUSTED_NO_WITNESS,True,False,False,False,32674870,39.010146068,EXHAUSTED_NO_WITNESS,True
4,23,False,EXHAUSTED_NO_WITNESS,True,False,False,False,30029246,47.182356738,EXHAUSTED_NO_WITNESS,True
4,24,False,EXHAUSTED_NO_WITNESS,True,False,False,False,27499456,32.882955918,EXHAUSTED_NO_WITNESS,True
4,25,False,EXHAUSTED_NO_WITNESS,True,False,False,False,24933753,37.742602269,EXHAUSTED_NO_WITNESS,True
4,26,False,EXHAUSTED_NO_WITNESS,True,False,False,False,22315234,33.539142388,EXHAUSTED_NO_WITNESS,True
4,27,False,EXHAUSTED_NO_WITNESS,True,False,False,False,20423982,30.956262266,EXHAUSTED_NO_WITNESS,True
4,28,False,EXHAUSTED_NO_WITNESS,True,False,False,False,18183945,26.506972508,EXHAUSTED_NO_WITNESS,True
4,29,False,EXHAUSTED_NO_WITNESS,True,False,False,False,16500347,24.361926933,EXHAUSTED_NO_WITNESS,True
4,30,False,EXHAUSTED_NO_WITNESS,True,False,False,False,14617954,21.348881992,EXHAUSTED_NO_WITNESS,True
4,31,False,EXHAUSTED_NO_WITNESS,True,False,False,False,13583573,19.323775777,EXHAUSTED_NO_WITNESS,True
4,32,False,EXHAUSTED_NO_WITNESS,True,False,False,False,11971662,17.470566904,EXHAUSTED_NO_WITNESS,True
4,33,False,EXHAUSTED_NO_WITNESS,True,False,False,False,11583211,16.484707782,EXHAUSTED_NO_WITNESS,True
4,34,False,EXHAUSTED_NO_WITNESS,True,False,False,False,9807366,10.611292851,EXHAUSTED_NO_WITNESS,True
4,35,False,EXHAUSTED_NO_WITNESS,True,False,False,False,9685085,13.755407823,EXHAUSTED_NO_WITNESS,True
4,36,False,EXHAUSTED_NO_WITNESS,True,False,False,False,7980875,10.931803258,EXHAUSTED_NO_WITNESS,True
4,37,False,EXHAUSTED_NO_WITNESS,True,False,False,False,7558147,10.193504279,EXHAUSTED_NO_WITNESS,True
4,38,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6642059,9.053405446,EXHAUSTED_NO_WITNESS,True
4,39,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6338373,8.262351329,EXHAUSTED_NO_WITNESS,True
4,40,False,EXHAUSTED_NO_WITNESS,True,False,False,False,5596497,7.191152191,EXHAUSTED_NO_WITNESS,True
4,41,False,EXHAUSTED_NO_WITNESS,True,False,False,False,5077979,6.73327892,EXHAUSTED_NO_WITNESS,True
4,42,False,EXHAUSTED_NO_WITNESS,True,False,False,False,4389649,5.678959996,EXHAUSTED_NO_WITNESS,True
4,43,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3929500,3.954312515,EXHAUSTED_NO_WITNESS,True
4,44,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3409877,4.3258526,EXHAUSTED_NO_WITNESS,True
4,45,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3011108,3.679463687,EXHAUSTED_NO_WITNESS,True
4,46,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2521782,2.447580666,EXHAUSTED_NO_WITNESS,True
4,47,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2205025,2.635582681,EXHAUSTED_NO_WITNESS,True
4,48,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1866788,2.170817919,EXHAUSTED_NO_WITNESS,True
4,49,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1582122,1.812887911,EXHAUSTED_NO_WITNESS,True
4,50,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1106313,1.26985846,EXHAUSTED_NO_WITNESS,True
4,51,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1128129,0.983461002,EXHAUSTED_NO_WITNESS,True
4,52,False,EXHAUSTED_NO_WITNESS,True,False,False,False,774257,0.842004718,EXHAUSTED_NO_WITNESS,True
4,53,False,EXHAUSTED_NO_WITNESS,True,False,False,False,846855,0.911227209,EXHAUSTED_NO_WITNESS,True
4,54,False,EXHAUSTED_NO_WITNESS,True,False,False,False,644241,0.716939778,EXHAUSTED_NO_WITNESS,True
